As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance
24-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,31000,26000
24-03-2025,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,35000,35000
24-03-2025,"Mcclain, Miller and Henderson",298,7026,USD,RETAIL LOANS,INTEREST RECEIVABLE,32000,24000
24-03-2025,Davis and Sons,537,9120,USD,ALL LOB LOANS,PRINCIPAL,51000,42000
24-03-2025,"Guzman, Hoffman and Baldwin",365,3735,USD,COMMERCIAL LOANS,DEFERRED COSTS,90000,78000
24-03-2025,"Gardner, Robinson and Lawrence",237,6615,USD,COMMERCIAL LOANS,PRINCIPAL,22000,21000
24-03-2025,Blake and Sons,642,8028,USD,ALL LOB LOANS,PRINCIPAL,53000,53000
24-03-2025,"Henderson, Ramirez and Lewis",339,4271,USD,RETAIL LOANS,PRINCIPAL,59000,54000
24-03-2025,Garcia-James,843,3740,USD,ALL LOB LOANS,INTEREST RECEIVABLE,66000,66000
24-03-2025,Abbott-Munoz,327,3108,USD,RETAIL LOANS,DEFERRED COSTS,81000,81000
24-03-2025,Blair PLC,449,4066,USD,ALL LOB LOANS,DEFERRED COSTS,64000,69000
24-03-2025,Dudley Group,528,6384,USD,ALL LOB LOANS,DEFERRED COSTS,68000,68000
24-03-2025,Arnold Ltd,903,9267,USD,ALL LOB LOANS,DEFERRED COSTS,27000,27000
24-03-2025,"Mcclure, Ward and Lee",486,7291,USD,ALL LOB LOANS,DEFERRED COSTS,33000,33000
24-03-2025,Williams and Sons,118,1076,USD,COMMERCIAL LOANS,PRINCIPAL,67000,67000
24-03-2025,Galloway-Wyatt,493,9115,USD,ALL LOB LOANS,PRINCIPAL,63000,69000
24-03-2025,James Group,507,1719,USD,RETAIL LOANS,INTEREST RECEIVABLE,30000,34000
24-03-2025,"Flowers, Martin and Kelly",370,9719,USD,ALL LOB LOANS,PRINCIPAL,41000,51000
24-03-2025,"Adams, Zuniga and Wong",694,7547,USD,RETAIL LOANS,INTEREST RECEIVABLE,88000,102000
24-03-2025,"Reid, Ferguson and Sanchez",529,1401,USD,ALL LOB LOANS,PRINCIPAL,26000,23000
24-03-2025,Gray-Mayo,242,5833,USD,ALL LOB LOANS,INTEREST RECEIVABLE,50000,50000
